year,city,country,avg_temp
1743,Ljubljana,Slovenia,5.49
1744,Ljubljana,Slovenia,11.06
1745,Ljubljana,Slovenia,2.3
1746,Ljubljana,Slovenia,
1747,Ljubljana,Slovenia,
1748,Ljubljana,Slovenia,
1749,Ljubljana,Slovenia,
1750,Ljubljana,Slovenia,10.19
1751,Ljubljana,Slovenia,10.53
1752,Ljubljana,Slovenia,4.97
1753,Ljubljana,Slovenia,9.44
1754,Ljubljana,Slovenia,9.24
1755,Ljubljana,Slovenia,9.02
1756,Ljubljana,Slovenia,9.74
1757,Ljubljana,Slovenia,9.38
1758,Ljubljana,Slovenia,8.59
1759,Ljubljana,Slovenia,9.62
1760,Ljubljana,Slovenia,9.55
1761,Ljubljana,Slovenia,9.81
1762,Ljubljana,Slovenia,9.44
1763,Ljubljana,Slovenia,9.05
1764,Ljubljana,Slovenia,9.71
1765,Ljubljana,Slovenia,9.47
1766,Ljubljana,Slovenia,9.3
1767,Ljubljana,Slovenia,8.75
1768,Ljubljana,Slovenia,8.36
1769,Ljubljana,Slovenia,9.24
1770,Ljubljana,Slovenia,9.21
1771,Ljubljana,Slovenia,8.99
1772,Ljubljana,Slovenia,10.74
1773,Ljubljana,Slovenia,9.6
1774,Ljubljana,Slovenia,9.44
1775,Ljubljana,Slovenia,9.95
1776,Ljubljana,Slovenia,8.93
1777,Ljubljana,Slovenia,9.1
1778,Ljubljana,Slovenia,10.24
1779,Ljubljana,Slovenia,10.33
1780,Ljubljana,Slovenia,9.47
1781,Ljubljana,Slovenia,10.19
1782,Ljubljana,Slovenia,9
1783,Ljubljana,Slovenia,9.95
1784,Ljubljana,Slovenia,8.8
1785,Ljubljana,Slovenia,8.44
1786,Ljubljana,Slovenia,8.65
1787,Ljubljana,Slovenia,9.65
1788,Ljubljana,Slovenia,9.59
1789,Ljubljana,Slovenia,9.35
1790,Ljubljana,Slovenia,9.78
1791,Ljubljana,Slovenia,10.08
1792,Ljubljana,Slovenia,9.52
1793,Ljubljana,Slovenia,9.54
1794,Ljubljana,Slovenia,10.33
1795,Ljubljana,Slovenia,9.32
1796,Ljubljana,Slovenia,9.61
1797,Ljubljana,Slovenia,10.58
1798,Ljubljana,Slovenia,9.86
1799,Ljubljana,Slovenia,8.44
1800,Ljubljana,Slovenia,9.89
1801,Ljubljana,Slovenia,10.32
1802,Ljubljana,Slovenia,10.18
1803,Ljubljana,Slovenia,8.92
1804,Ljubljana,Slovenia,9.4
1805,Ljubljana,Slovenia,8.01
1806,Ljubljana,Slovenia,9.95
1807,Ljubljana,Slovenia,9.97
1808,Ljubljana,Slovenia,8.32
1809,Ljubljana,Slovenia,9.21
1810,Ljubljana,Slovenia,9.63
1811,Ljubljana,Slovenia,10.38
1812,Ljubljana,Slovenia,8.51
1813,Ljubljana,Slovenia,8.87
1814,Ljubljana,Slovenia,8.45
1815,Ljubljana,Slovenia,8.86
1816,Ljubljana,Slovenia,8.19
1817,Ljubljana,Slovenia,9.24
1818,Ljubljana,Slovenia,9.5
1819,Ljubljana,Slovenia,9.65
1820,Ljubljana,Slovenia,9.21
1821,Ljubljana,Slovenia,9.28
1822,Ljubljana,Slovenia,10.62
1823,Ljubljana,Slovenia,9.12
1824,Ljubljana,Slovenia,9.73
1825,Ljubljana,Slovenia,9.66
1826,Ljubljana,Slovenia,9.5
1827,Ljubljana,Slovenia,9.44
1828,Ljubljana,Slovenia,9.51
1829,Ljubljana,Slovenia,8
1830,Ljubljana,Slovenia,9.11
1831,Ljubljana,Slovenia,9.5
1832,Ljubljana,Slovenia,8.93
1833,Ljubljana,Slovenia,9.17
1834,Ljubljana,Slovenia,10.5
1835,Ljubljana,Slovenia,8.75
1836,Ljubljana,Slovenia,9.31
1837,Ljubljana,Slovenia,8.46
1838,Ljubljana,Slovenia,8.27
1839,Ljubljana,Slovenia,9.35
1840,Ljubljana,Slovenia,8.5
1841,Ljubljana,Slovenia,10.15
1842,Ljubljana,Slovenia,8.89
1843,Ljubljana,Slovenia,9.39
1844,Ljubljana,Slovenia,8.95
1845,Ljubljana,Slovenia,8.98
1846,Ljubljana,Slovenia,10.45
1847,Ljubljana,Slovenia,8.85
1848,Ljubljana,Slovenia,9.48
1849,Ljubljana,Slovenia,9.07
1850,Ljubljana,Slovenia,8.64
1851,Ljubljana,Slovenia,8.72
1852,Ljubljana,Slovenia,9.5
1853,Ljubljana,Slovenia,8.99
1854,Ljubljana,Slovenia,8.98
1855,Ljubljana,Slovenia,8.74
1856,Ljubljana,Slovenia,9.12
1857,Ljubljana,Slovenia,9.33
1858,Ljubljana,Slovenia,8.48
1859,Ljubljana,Slovenia,9.76
1860,Ljubljana,Slovenia,8.51
1861,Ljubljana,Slovenia,9.53
1862,Ljubljana,Slovenia,9.9
1863,Ljubljana,Slovenia,10.53
1864,Ljubljana,Slovenia,8.01
1865,Ljubljana,Slovenia,9.55
1866,Ljubljana,Slovenia,9.71
1867,Ljubljana,Slovenia,9.57
1868,Ljubljana,Slovenia,10.25
1869,Ljubljana,Slovenia,9.59
1870,Ljubljana,Slovenia,8.38
1871,Ljubljana,Slovenia,8.22
1872,Ljubljana,Slovenia,10.37
1873,Ljubljana,Slovenia,9.76
1874,Ljubljana,Slovenia,8.95
1875,Ljubljana,Slovenia,8.45
1876,Ljubljana,Slovenia,9.13
1877,Ljubljana,Slovenia,9.39
1878,Ljubljana,Slovenia,9.2
1879,Ljubljana,Slovenia,8.62
