Row Labels,Average of SF_5-year_MV_temp,Average of global_5-year_MV_temp
1849,,
1850,,
1851,,
1852,,
1853,14.104,8.04
1854,14.076,8.086
1855,14.156,8.128
1856,14.098,8.092
1857,14.292,8.024
1858,14.25,8.036
1859,14.196,8.044
1860,14.118,8.014
1861,14.274,7.984
1862,14.204,7.944
1863,14.252,7.946
1864,14.546,7.892
1865,14.648,7.936
1866,14.606,8.024
1867,14.612,8.2
1868,14.576,8.228
1869,14.454,8.318
1870,14.428,8.322
1871,14.362,8.288
1872,14.396,8.238
1873,14.438,8.258
1874,14.342,8.258
1875,14.456,8.19
1876,14.476,8.182
1877,14.556,8.252
1878,14.538,8.348
1879,14.56,8.296
1880,14.252,8.348
1881,14.242,8.386
1882,13.952,8.304
1883,13.864,8.134
1884,13.834,8.054
1885,14.2,8.014
1886,14.238,7.95
1887,14.398,7.906
1888,14.552,7.928
1889,14.704,8.038
1890,14.504,8.048
1891,14.48,8.062
1892,14.414,8.094
1893,14.154,8.088
1894,13.952,8.056
1895,13.932,8.092
1896,13.884,8.13
1897,13.836,8.174
1898,13.91,8.198
1899,13.958,8.246
1900,14.096,8.316
1901,14.12,8.382
1902,14.172,8.384
1903,14.242,8.392
1904,14.334,8.33
1905,14.284,8.276
1906,14.378,8.244
1907,14.432,8.174
1908,14.41,8.168
1909,14.32,8.186
1910,14.276,8.184
1911,14.006,8.144
1912,13.928,8.188
1913,14.002,8.21
1914,14.058,8.292
1915,14.084,8.366
1916,14.114,8.376
1917,14.136,8.346
1918,14.088,8.312
1919,13.942,8.27
1920,13.826,8.224
1921,13.952,8.292
1922,13.862,8.37
1923,13.86,8.428
1924,13.96,8.454
1925,14.084,8.488
1926,14.264,8.52
1927,14.39,8.542
1928,14.428,8.584
1929,14.458,8.53
1930,14.44,8.55
1931,14.398,8.548
1932,14.398,8.586
1933,14.32,8.528
1934,14.532,8.606
1935,14.506,8.584
1936,14.546,8.55
1937,14.57,8.548
1938,14.654,8.652
1939,14.554,8.678
1940,14.754,8.726
1941,14.724,8.77
1942,14.692,8.776
1943,14.766,8.756
1944,14.638,8.774
1945,14.496,8.738
1946,14.266,8.72
1947,14.328,8.734
1948,14.114,8.732
1949,14.06,8.68
1950,14.11,8.638
1951,14.156,8.628
1952,14.076,8.596
1953,14.23,8.62
1954,14.286,8.614
1955,14.102,8.666
1956,14.106,8.596
1957,14.202,8.614
1958,14.4,8.594
1959,14.642,8.628
1960,14.812,8.618
1961,14.926,8.722
1962,14.852,8.726
1963,14.608,8.744
1964,14.378,8.68
1965,14.288,8.67
1966,14.306,8.63
1967,14.362,8.62
1968,14.456,8.552
1969,14.51,8.59
1970,14.634,8.624
1971,14.464,8.624
1972,14.414,8.584
1973,14.398,8.67
1974,14.378,8.644
1975,14.19,8.652
1976,14.356,8.602
1977,14.432,8.672
1978,14.508,8.62
1979,14.624,8.672
1980,14.808,8.72
1981,14.908,8.884
1982,14.782,8.842
1983,14.804,8.91
1984,14.8,8.902
1985,14.698,8.838
1986,14.654,8.77
1987,14.844,8.84
1988,14.846,8.874
1989,14.742,8.92
1990,14.842,9.034
1991,14.742,9.104
1992,14.858,9.074
1993,14.836,9.008
1994,14.788,9.032
1995,14.904,9.056
1996,15.116,9.028
1997,15.16,9.1
1998,15.042,9.23
1999,15.082,9.28
2000,15.024,9.25
2001,14.962,9.324
2002,14.812,9.398
2003,15.022,9.4
2004,15.214,9.406
2005,15.244,9.506
2006,15.198,9.53
2007,15.186,9.562
2008,15.11,9.542
2009,15.04,9.58
2010,14.94,9.58
2011,14.836,9.578
2012,14.858,9.534
2013,15.094,9.57
(blank),15.560625,9.575416667
Grand Total,14.47139697,8.57359798
